date,demand
2016-04-01,71626
2016-04-02,69778
2016-04-03,63798
2016-04-04,70949
2016-04-05,76572
2016-04-06,71918
2016-04-07,76125
2016-04-08,71008
2016-04-09,63956
2016-04-10,60860
2016-04-11,71974
2016-04-12,75294
2016-04-13,74426
2016-04-14,73648
2016-04-15,71072
2016-04-16,65129
2016-04-17,62243
2016-04-18,69346
2016-04-19,69886
2016-04-20,70374
2016-04-21,72467
2016-04-22,71650
2016-04-23,65648
2016-04-24,61722
2016-04-25,69337
2016-04-26,72682
2016-04-27,72122
2016-04-28,72332
2016-04-29,63948
2016-04-30,61786
2016-05-01,58282
2016-05-02,63474
2016-05-03,58983
2016-05-04,58690
2016-05-05,58930
2016-05-06,65718
2016-05-07,65133
2016-05-08,60612
2016-05-09,69554
2016-05-10,72401
2016-05-11,73217
2016-05-12,73195
2016-05-13,73783
2016-05-14,66058
2016-05-15,61356
2016-05-16,70647
2016-05-17,73343
2016-05-18,72231
2016-05-19,71937
2016-05-20,70976
2016-05-21,65751
2016-05-22,62839
2016-05-23,74517
2016-05-24,78288
2016-05-25,76192
2016-05-26,76618
2016-05-27,73033
2016-05-28,64456
2016-05-29,60987
2016-05-30,69516
2016-05-31,71196
2016-06-01,70825
2016-06-02,70304
2016-06-03,70214
2016-06-04,65344
2016-06-05,59785
2016-06-06,69678
2016-06-07,72071
2016-06-08,73539
2016-06-09,74555
2016-06-10,75644
2016-06-11,68034
2016-06-12,64572
2016-06-13,72350
2016-06-14,73759
2016-06-15,72861
2016-06-16,74250
2016-06-17,77900
2016-06-18,72069
2016-06-19,66144
2016-06-20,79664
2016-06-21,78933
2016-06-22,77168
2016-06-23,78029
2016-06-24,76065
2016-06-25,71671
2016-06-26,67188
2016-06-27,77476
2016-06-28,74806
2016-06-29,74863
2016-06-30,75909
2016-07-01,80622
2016-07-02,76417
2016-07-03,78475
2016-07-04,89812
2016-07-05,78213
2016-07-06,78125
2016-07-07,88051
2016-07-08,82639
2016-07-09,69921
2016-07-10,71667
2016-07-11,87564
2016-07-12,88043
2016-07-13,85886
2016-07-14,88895
2016-07-15,79415
2016-07-16,70477
2016-07-17,70417
2016-07-18,81184
2016-07-19,89968
2016-07-20,86684
2016-07-21,78846
2016-07-22,75158
2016-07-23,66837
2016-07-24,65281
2016-07-25,76865
2016-07-26,77843
2016-07-27,77976
2016-07-28,83408
2016-07-29,86012
2016-07-30,79628
2016-07-31,75648
2016-08-01,87434
2016-08-02,87793
2016-08-03,88785
2016-08-04,92312
2016-08-05,94404
2016-08-06,88254
2016-08-07,81528
2016-08-08,90967
2016-08-09,99197
2016-08-10,94296
2016-08-11,79806
2016-08-12,80439
2016-08-13,72934
2016-08-14,67836
2016-08-15,73116
2016-08-16,78216
2016-08-17,86580
2016-08-18,86061
2016-08-19,86933
2016-08-20,77807
2016-08-21,77758
2016-08-22,84069
2016-08-23,87429
2016-08-24,87015
2016-08-25,91617
2016-08-26,92323
2016-08-27,74596
2016-08-28,65597
2016-08-29,81713
2016-08-30,81689
2016-08-31,81745
2016-09-01,84812
2016-09-02,86185
2016-09-03,79681
2016-09-04,74388
2016-09-05,90002
2016-09-06,93688
2016-09-07,89980
2016-09-08,87702
2016-09-09,88021
2016-09-10,78366
2016-09-11,68188
2016-09-12,78796
2016-09-13,78794
2016-09-14,77790
2016-09-15,81374
2016-09-16,78457
2016-09-17,74716
2016-09-18,68633
2016-09-19,69972
2016-09-20,74615
2016-09-21,73270
2016-09-22,70881
2016-09-23,75288
2016-09-24,69927
2016-09-25,66522
2016-09-26,80030
2016-09-27,84095
2016-09-28,85638
2016-09-29,82223
2016-09-30,73950
2016-10-01,67459
2016-10-02,65988
2016-10-03,76847
2016-10-04,80875
2016-10-05,77983
2016-10-06,81325
2016-10-07,73437
2016-10-08,68137
2016-10-09,64376
2016-10-10,63490
2016-10-11,69408
2016-10-12,70439
2016-10-13,71302
2016-10-14,70422
2016-10-15,65039
